"","name","id","parent","parentname","Year","ExamType","Course","Instructor","QuestionNumber","Semester","StudentID","QuestionConcept","QuestionContext","AcademicTerm","QuestionType"
"1","BS110_Spring2009_TML_FinalExam_Q12_154867923.cxl","1P2T1Pfg1RmV31QvjLgn7BIntk6jZKzrK","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","154867923","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"2","BS110_Spring2009_TML_FinalExam_Q12_278147415.cxl","1L6oJIxptjJNL_QRO3U-4DZhvTaadokpi","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","278147415","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"3","BS110_Spring2009_TML_FinalExam_Q12_247074989.cxl","1lh6wBha5acTxojBGEP4zPEJbwcaDEZpG","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","247074989","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"4","BS110_Spring2009_TML_FinalExam_Q12_223459922.cxl","1aJNoo7l8Scv2Shxc0WpwwiBIo8KJcjHB","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","223459922","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"5","BS110_Spring2009_TML_FinalExam_Q12_248274229.cxl","11teAIYmGnL3TXo66IZ0nKWvtToIlvZKc","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","248274229","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"6","BS110_Spring2009_TML_FinalExam_Q12_249130210.cxl","1_jtlqlTwBrWiGS-NFrPd9VtA6aIVpuI3","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","249130210","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"7","BS110_Spring2009_TML_FinalExam_Q12_249541453.cxl","1cq3lY9wlFlz7jX9UfoYYg6o0Bv2dPrr-","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","249541453","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"8","BS110_Spring2009_TML_FinalExam_Q12_252036414.cxl","1upbP3PNaeB16cXwVX8Thr38h4SImaNWj","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","252036414","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"9","BS110_Spring2009_TML_FinalExam_Q12_253431934.cxl","1hqq8JjEbZ3FSNvFk4ZwXteFf1Xpk1XYI","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","253431934","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"10","BS110_Spring2009_TML_FinalExam_Q12_254694615.cxl","1wHBZ38ORuPpBnQ8avm1WYoBbWVxqAhnd","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","254694615","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"11","BS110_Spring2009_TML_FinalExam_Q12_258784337.cxl","1dje7Ng6IkQI6DW0FvVcdQQbdZEtkvII1","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","258784337","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"12","BS110_Spring2009_TML_FinalExam_Q12_257774839.cxl","1TD5PcyAB8ngseXSSviHTdbYIoXc6nhI1","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","257774839","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"13","BS110_Spring2009_TML_FinalExam_Q12_258356308.cxl","1VA6blntkuj2bg5KvHdS9VkMWL04qBQMO","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","258356308","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"14","BS110_Spring2009_TML_FinalExam_Q12_257725713.cxl","1o2KJJxgAScEfRIRGMI1ZcBZ1ygNkzDzV","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","257725713","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"15","BS110_Spring2009_TML_FinalExam_Q12_259040033.cxl","1-7RSoGbTB4rkzsjc0G7be287oik3G-vE","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","259040033","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"16","BS110_Spring2009_TML_FinalExam_Q12_256168766.cxl","17l_oEakNpQK6s_ddq4vxaKKSB0Z_t8Jb","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","256168766","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"17","BS110_Spring2009_TML_FinalExam_Q12_255039456.cxl","1fKzc-9-azK-fOhhPWchTRXXbilv-pdWd","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","255039456","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"18","BS110_Spring2009_TML_FinalExam_Q12_256623920.cxl","1l79RpEclKyLy7rmjNofy_9Zq9BCoJIdJ","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","256623920","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"19","BS110_Spring2009_TML_FinalExam_Q12_259110495.cxl","1ayghEewvFwJduwqDYei1FGCmY3Jf0LgV","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","259110495","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"20","BS110_Spring2009_TML_FinalExam_Q12_257010453.cxl","1_w4UEzkb6kiM6v3OXBOHUjtlXEBfWSf0","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","257010453","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"21","BS110_Spring2009_TML_FinalExam_Q12_260538670.cxl","1OUCAuz4rTiynPjpAe21x8VPLsusfpdRK","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","260538670","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"22","BS110_Spring2009_TML_FinalExam_Q12_262477684.cxl","1NOGLtzuGWHffqp19ZPB25HdgYipcRJXG","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","262477684","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"23","BS110_Spring2009_TML_FinalExam_Q12_263253991.cxl","1ZhlChLRxRhxJFN6GF1U7_XtBihOMYlr5","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","263253991","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"24","BS110_Spring2009_TML_FinalExam_Q12_263341435.cxl","1n0GN2xMMb1Snn56A2LqYUDK70KO4oL5Q","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","263341435","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"25","BS110_Spring2009_TML_FinalExam_Q12_263790674.cxl","1_4TTqRaAot-o623HblvuyM5uE_LEAxid","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","263790674","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"26","BS110_Spring2009_TML_FinalExam_Q12_263246032.cxl","1rOOI2DxWRzG3Tzbu4DeB2z-mlsgop_r8","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","263246032","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"27","BS110_Spring2009_TML_FinalExam_Q12_262881899.cxl","1tG8gAtAv14wdZ1BHxSCh4jE5qrsB8GTS","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","262881899","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"28","BS110_Spring2009_TML_FinalExam_Q12_261921093.cxl","1kf4VT0vr6uf847L0UJucVRfYiIa-EQR1","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","261921093","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"29","BS110_Spring2009_TML_FinalExam_Q12_262386901.cxl","1iOBU6Wm4b_HuOm8Pv75a9feB-FlDwqzK","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","262386901","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"30","BS110_Spring2009_TML_FinalExam_Q12_262720108.cxl","1Gx0U6P-4DtbhB4FpDrFW2qft-tUBtiZ9","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","262720108","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"31","BS110_Spring2009_TML_FinalExam_Q12_263869074.cxl","15IBTVwL8i1q_RVJNH1LFf2iOQJvuV-ad","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","263869074","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"32","BS110_Spring2009_TML_FinalExam_Q12_264150110.cxl","1yPI0iExxl17tUIc8lgzr9-8bgP_Q5CRt","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","264150110","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"33","BS110_Spring2009_TML_FinalExam_Q12_266304017.cxl","1vcXyqJv6b2SaenxV4WBsbg4ZcMCIj_zb","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","266304017","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"34","BS110_Spring2009_TML_FinalExam_Q12_267120140.cxl","1w3mDMuSP-Dmpqo5zxxQBji1zguRms__X","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","267120140","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"35","BS110_Spring2009_TML_FinalExam_Q12_271349295.cxl","16-U8b8dLj7JBE7xJz9_NYnHqmi75wWXz","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","271349295","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"36","BS110_Spring2009_TML_FinalExam_Q12_270038755.cxl","1eBR9c4dGSaLQkuzEpdq3JRTAvwJlqxgv","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","270038755","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"37","BS110_Spring2009_TML_FinalExam_Q12_271460861.cxl","1Y6B2MnADGjh53uaQ2tVgnZ9wjuOQ_v7Z","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","271460861","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"38","BS110_Spring2009_TML_FinalExam_Q12_272836578.cxl","1-MjeMt4_p51MlkWIEKmWyXaxcxFvFxJf","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","272836578","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"39","BS110_Spring2009_TML_FinalExam_Q12_273283738.cxl","1wmPQKZHC8BUHGPLZkAeUjGn3DwVspJv9","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","273283738","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"40","BS110_Spring2009_TML_FinalExam_Q12_273509313.cxl","1yw1otV8PZvBb5WeJf9f1Vle8Q-l3q5Ny","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","273509313","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"41","BS110_Spring2009_TML_FinalExam_Q12_273724493.cxl","1JQ7mP5y7RDWEOTF597CAckbyYPbOqNmJ","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","273724493","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"42","BS110_Spring2009_TML_FinalExam_Q12_273200613.cxl","1U2mt6OgWkKt-d0wKiKwpf6QrmBwlD8Z_","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","273200613","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"43","BS110_Spring2009_TML_FinalExam_Q12_272942915.cxl","1LjAeB_fJ1TzTannX7PBqGUbvYNHsBswT","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","272942915","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"44","BS110_Spring2009_TML_FinalExam_Q12_272873265.cxl","1_5e6gNuZMSuS96oPAMSkBdGLc3vE7QvA","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","272873265","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"45","BS110_Spring2009_TML_FinalExam_Q12_273769566.cxl","1LjyVhfTy6HJiEtfWcEzE-Cx5DfEfDd8i","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","273769566","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"46","BS110_Spring2009_TML_FinalExam_Q12_274096774.cxl","1m977qr7J55JKFEAKp2coGWVctwi_NqdO","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","274096774","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"47","BS110_Spring2009_TML_FinalExam_Q12_273819084.cxl","1gw7bzDrnWBB2U51DUVnJ_Q6uk57lweLF","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","273819084","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"48","BS110_Spring2009_TML_FinalExam_Q12_273984613.cxl","10EbnmvB87H7RKBChosTrA_TNvB8Ch22r","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","273984613","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
"49","BS110_Spring2009_TML_FinalExam_Q12_274138578.cxl","1b8VVAnyrOnb778kRi4QhB2ET2Wse7DZ0","17BCR5tbIUnN55CVxvEDnmEvLAEYnPjl2","BS110_2009Spring_TML_Q12_Final_CXL","2009","Final","BS110","TML","Q12","Spring","274138578","Carbon Cycle","Isle Royale","Spring 2009","Carbon Cycle/Isle Royale"
